Play,Year,Year_Range
Two Gentlemen of Verona,1595,1591-1599
Taming of the Shrew,1594,1591-1599
"Henry VI, part 2",1591,1591-1599
"Henry VI, part 3",1591,1591-1599
"Henry VI, part 1",1598,1591-1599
Titus Andronicus,1594,1591-1599
Richard III,1593,1591-1599
The Comedy of Errors,1593,1591-1599
Love's Labours Lost,1595,1591-1599
Richard II,1596,1591-1599
Romeo and Juliet,1595,1591-1599
A Midsummer Night's Dream,1596,1591-1599
King John,1597,1591-1599
The Merchant of Venice,1597,1591-1599
"Henry IV, part 1",1598,1591-1599
The Merry Wives of Windsor,1601,1600-1609
"Henry IV, part 2",1598,1591-1599
Much Ado About Nothing,1599,1591-1599
Henry V,1599,1591-1599
Julius Caesar,1599,1591-1599
As You Like It,1601,1600-1609
Hamlet,1604,1600-1609
Twelfth Night,1602,1600-1609
Troilus and Cressida,1602,1600-1609
Measure for Measure,1605,1600-1609
Othello,1605,1600-1609
All's Well That Ends Well,1603,1600-1609
King Lear,1606,1600-1609
Timon of Athens,1608,1600-1609
Macbeth,1606,1600-1609
Antony and Cleopatra,1607,1600-1609
"Pericles, Prince of Tyre",1609,1600-1609
Coriolanus,1608,1600-1609
Winter's Tale,1611,1610-1612
Cymbeline,1609,1600-1609
The Tempest,1612,1610-1612
Henry VIII,1611,1610-1612
